Item,Calories,Calories_from_Fat,Total_Fat_g,Sat_Fat_g,Trans_Fat_g,Cholesterol_mg,Sodium_mg,Carbs_g,Fiber_g,Sugars_g,Protein_g,VitA_pct,VitC_pct,Calcium_pct,Iron_pct
Asiago Cheese Bagel,310,45,5.0,3.0,0.0,15,600,54.0,4.0,6.0,13.0,,,,
Cinnamon Raisin Bagel,270,5,1.0,0.0,0.0,0,470,57.0,4.0,11.0,10.0,,,,
Everything Bagel,270,15,1.5,0.0,0.0,0,660,54.0,4.0,6.0,10.0,,,,
Ancient Grain Bagel,290,35,4.0,0.5,0.0,0,450,53.0,7.0,9.0,13.0,,,,
Jalapeno Cheddar Bagel,320,50,5.0,3.5,0.0,15,710,54.0,4.0,6.0,13.0,,,,
Plain Bagel,260,5,0.5,0.0,0.0,0,510,53.0,4.0,5.0,10.0,,,,
Sesame Seed Bagel,280,20,2.0,0.0,0.0,0,510,54.0,4.0,5.0,10.0,,,,
Whole Wheat Skinny Bagel,90,5,1.0,0.0,0.0,0,230,21.0,6.0,1.0,5.0,,,,
Garden Vegetable Cream Cheese Spread,100,90,10.0,6.0,0.0,30,230,2.0,0.0,2.0,2.0,,,,
Herb Cream Cheese,90,60,7.0,4.5,0.0,25,180,4.0,0.0,2.0,3.0,,,,
Reduced Fat Philadelphia Cream Cheese,90,70,8.0,4.5,0.0,30,190,3.0,0.0,2.0,3.0,,,,
Brownie Bites,640,290,33.0,14.0,0.0,90,230,87.0,5.0,68.0,8.0,,,,
Candy Cookie,560,240,26.0,13.0,0.0,45,300,79.0,3.0,49.0,7.0,,,,
Chewy Marshmallow Bar,260,50,5.0,3.5,0.0,15,250,50.0,0.0,27.0,2.0,,,,
Double Chocolate Brownie,500,240,27.0,12.0,0.0,75,190,66.0,4.0,50.0,6.0,,,,
Chocolate Chip Cookie,370,160,18.0,11.0,0.0,45,120,54.0,2.0,35.0,3.0,,,,
Chocolate Cranberry Almond Coconut Macaroon,290,150,17.0,13.0,0.0,0,110,33.0,2.0,24.0,4.0,,,,
Cinnamon Swirl Roll,530,230,25.0,13.0,0.0,70,360,73.0,4.0,37.0,6.0,,,,
Classic Oatmeal Raisin Cookie,290,100,11.0,6.0,0.0,40,150,46.0,2.0,24.0,4.0,,,,
Double Chocolate Mudslide Cookie,370,170,19.0,10.0,0.0,50,170,50.0,2.0,32.0,5.0,,,,
English Toffee Cookie,320,140,16.0,9.0,0.0,50,240,42.0,1.0,25.0,4.0,,,,
Iced Lemon Pound Cake,470,190,21.0,11.0,0.0,140,510,66.0,1.0,41.0,6.0,,,,
Lemon Blueberry Cookie,550,230,25.0,9.0,0.0,45,360,79.0,3.0,45.0,6.0,,,,
